region/code;city/code;city/jp;city/en;noCode;code;name;eng;latitude;longitude;arv
100;123500;石狩市;Ishikari-shi;1000000;123500;石狩市花川;Ishikari-shi Hanakawa;43.1714;141.3156;2.041
100;123500;石狩市;Ishikari-shi;1000001;123501;石狩市聚富;Ishikari-shi Shippu;43.2753;141.4175;1.066
100;123500;石狩市;Ishikari-shi;1000020;123520;石狩市厚田;Ishikari-shi Atsuta;43.4;141.4344;1.442
100;123500;石狩市;Ishikari-shi;1000021;123521;石狩市浜益;Ishikari-shi Hamamasu;43.6014;141.3881;0.669
100;123500;石狩市;Ishikari-shi;1000022;123522;石狩市花畔;Ishikari-shi Bannaguro;43.1719;141.3044;1.442
100;130300;当別町;Tōbetsu-chō;1000120;130320;当別町白樺;Tōbetsu-chō Shirakaba;43.2236;141.5169;2.120
100;130400;新篠津村;Shin-shinotsu-mura;1000231;130431;新篠津村第４７線;Shin-shinotsu-mura Dai-47-sen;43.2256;141.6492;2.203
101;110100;札幌中央区;Sapporo-shi Chūō-ku;1010000;110100;札幌中央区北２条;Sapporo-shi Chūō-ku Kita-2-jou;43.0603;141.3286;1.323
101;110100;札幌中央区;Sapporo-shi Chūō-ku;1010040;110140;札幌中央区南４条;Sapporo-shi Chūō-ku Minami-4-jou;43.0547;141.3428;1.286
101;110200;札幌北区;Sapporo-shi Kita-ku;1010120;110220;札幌北区太平;Sapporo-shi Kita-ku Taihei;43.1389;141.3511;2.331
101;110200;札幌北区;Sapporo-shi Kita-ku;1010140;110240;札幌北区篠路;Sapporo-shi Kita-ku Shinoro;43.1428;141.3578;2.298
101;110200;札幌北区;Sapporo-shi Kita-ku;1010141;110241;札幌北区新琴似;Sapporo-shi Kita-ku Shinkotoni;43.1136;141.3303;2.241
101;110300;札幌東区;Sapporo-shi Higashi-ku;1010241;110341;札幌東区元町;Sapporo-shi Higashi-ku Moto-machi;43.0944;141.3742;2.215
101;110400;札幌白石区;Sapporo-shi Shiroishi-ku;1010341;110441;札幌白石区北郷;Sapporo-shi Shiroishi-ku Kitagō;43.055;141.4214;1.498
